,SeedType,GameST,GameCity,TopSeed,TopST,TopCity,TopTravel,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,TopRPI,BotSeed,BotST,BotCity,BotTravel,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS,BotRPI
1,OneSixteen,NC,Charlotte,Virginia,VA,Charlottesville,437.839,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,UMBC,MD,Baltimore,716.97,34,886,1993,0.445,346,894,0.387,540,1099,0.445,2513,2362,525,338,846,2647.6,0.555737386,0.531359759,411,0.15523493,395,609,0.305569493,0.949161505,0.89212872,-4.98,117
2,EightNine,NC,Charlotte,Creighton,NE,Omaha,1847.403,32,985,1982,0.497,334,889,0.376,651,1093,0.497,2697,2375,576,232,929,2550.4,0.609232688,0.58123108,358,0.140370138,393,526,0.265388496,1.057481179,0.931226474,8.08,45,Kansas State,KS,Manhattan,1738.469,33,854,1809,0.472,229,665,0.344,625,1144,0.472,2388,2240,473,269,741,2431.2,0.575000482,0.535378662,379,0.155890095,451,608,0.336097291,0.982230997,0.921355709,8.96,50
3,FiveTwelve,ID,Boise,Kentucky,KY,Lexington,3148.589,33,895,1908,0.469,178,497,0.358,717,1411,0.469,2532,2318,446,400,883,2665.6,0.558654287,0.51572327,432,0.162064826,564,814,0.426624738,0.949879952,0.869597839,10.95,10,Davidson,NC,Davidson,3770.315,31,856,1763,0.486,336,856,0.393,520,907,0.486,2388,2105,530,212,806,2228.2,0.611893487,0.580828134,294,0.131945068,340,428,0.242768009,1.071717081,0.944708734,2.06,43
4,FourThirteen,ID,Boise,Arizona,AZ,Tuscon,1680.212,34,980,1940,0.505,235,624,0.377,745,1316,0.505,2750,2420,518,341,905,2648.6,0.608202551,0.565721649,417,0.157441667,555,729,0.375773196,1.038284377,0.913690251,7.22,13,Buffalo,NY,Buffalo,3572.786,34,1045,2205,0.474,329,887,0.371,716,1318,0.474,2883,2579,576,407,919,2897.4,0.577052409,0.548526077,426,0.14702837,464,666,0.302040816,0.995030027,0.890108373,-0.55,26
5,SixEleven,TX,Dallas,Miami(FL),FL,Miami,2108.756,31,850,1832,0.464,243,669,0.363,607,1163,0.464,2299,2109,413,309,771,2396.6,0.556130743,0.53029476,351,0.146457481,354,534,0.291484716,0.95927564,0.879996662,7.15,28,Loyola-Chicago,IL,Chicago,1490.167,33,869,1714,0.507,246,618,0.398,623,1096,0.507,2390,2054,519,209,858,2342.4,0.609432692,0.578763127,404,0.172472678,406,561,0.327304551,1.020321038,0.876878415,-0.27,23
6,ThreeFourteen,TX,Dallas,Tennessee,TN,Knoxville,1356.62,32,810,1835,0.441,249,648,0.384,561,1187,0.441,2377,2114,508,367,793,2497.2,0.557687976,0.509264305,393,0.157376261,508,673,0.366757493,0.95186609,0.846548134,10.59,8,Wright State,OH,Dayton,1587.985,34,854,1959,0.436,233,682,0.342,621,1277,0.436,2453,2234,451,346,889,2690.6,0.539557268,0.495405819,446,0.165762284,512,714,0.364471669,0.911692559,0.830298075,-4.41,100
7,SevenTen,TN,Nashville,Nevada,NV,Reno,3448.423,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832,0.548638132,338,0.125240848,569,762,0.370622568,1.046761524,0.91818586,4.35,17,Texas,TX,Austin,1382.586,33,851,1943,0.438,234,742,0.315,617,1201,0.438,2367,2251,381,349,826,2591,0.531480151,0.498198662,390,0.150521034,431,645,0.331960885,0.913546893,0.868776534,10.93,53
8,TwoFifteen,TN,Nashville,Cincinnati,OH,Cincinnati,440.631,33,873,1926,0.453,244,681,0.358,629,1245,0.453,2476,1888,535,435,855,2584.4,0.553508835,0.516614746,376,0.145488315,486,706,0.366562825,0.958056028,0.730537069,3.15,6,Georgia State,GA,Atlanta,401.541,33,891,1924,0.463,307,795,0.386,584,1129,0.463,2487,2227,443,290,835,2538.8,0.569243024,0.542879418,378,0.148889239,398,592,0.307692308,0.97959666,0.877186072,-3.4,119
9,OneSixteen,TN,Nashville,Xavier,OH,Cincinnati,440.631,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363522,0.55715757,410,0.153880799,617,781,0.402162719,1.043762198,0.922534154,9.86,3,NC Central,NC,Durham,829.802,34,928,1991,0.466,212,626,0.339,716,1365,0.466,2474,2361,535,393,900,2707.4,0.549523776,0.519337017,480,0.177291867,406,591,0.296835761,0.91379183,0.87205437,-12.29,280
10,OneSixteen,TN,Nashville,Xavier,OH,Cincinnati,440.631,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363522,0.55715757,410,0.153880799,617,781,0.402162719,1.043762198,0.922534154,9.86,3,Texas Southern,TX,Houston,1254.181,34,878,1989,0.441,266,732,0.363,612,1257,0.441,2640,2711,417,350,879,2761,0.55757371,0.508295626,428,0.155016298,618,860,0.432378079,0.956175299,0.981890619,-5.83,222
11,EightNine,TN,Nashville,Missouri,MO,Columbia,694.939,32,778,1716,0.453,298,775,0.385,480,941,0.453,2345,2179,435,327,862,2435.8,0.583484284,0.54020979,453,0.18597586,491,667,0.388694639,0.962722719,0.894572625,9.36,46,Florida State,FL,Tallahassee,788.577,31,906,1912,0.474,248,706,0.351,658,1206,0.474,2535,2309,473,363,816,2591.4,0.57196621,0.538702929,403,0.155514394,473,691,0.361401674,0.978235703,0.891024157,7.69,54
